"scientificName","Family","nativeStatus","plantOrigin"
"Najas graminea","Najadaceae","L48(I)","alien"
"Najas guadalupensis","Najadaceae","L48(N)HI(I)PR(N)CAN(N)","native"
"Najas guadalupensis ssp. floridana","Najadaceae","L48(N)","native"
"Najas guadalupensis ssp. guadalupensis","Najadaceae","L48(N)HI(I)PR(N)CAN(N)","native"
"Najas guadalupensis ssp. muenscheri","Najadaceae","L48(N)","native"
"Najas guadalupensis ssp. olivacea","Najadaceae","L48(N)CAN(N)","native"
"Najas marina","Najadaceae","L48(N)HI(I)PR(N)CAN(N)","native"
"Najas minor","Najadaceae","L48(I)CAN(I)","alien"
"Najas wrightiana","Najadaceae","L48(I)","alien"
"Nama","Hydrophyllaceae","L48(N)","native"
"Nama aretioides","Hydrophyllaceae","L48(N)","native"
"Nama aretioides var. aretioides","Hydrophyllaceae","L48(N)","native"
"Nama aretioides var. californicum","Hydrophyllaceae","L48(N)","native"
"Nama aretioides var. multiflorum","Hydrophyllaceae","L48(N)","native"
"Nama californicum","Hydrophyllaceae","L48(N)","native"
"Nama carnosum","Hydrophyllaceae","L48(N)","native"
"Nama demissum","Hydrophyllaceae","L48(N)","native"
"Nama demissum var. covillei","Hydrophyllaceae","L48(N)","native"
"Nama demissum var. demissum","Hydrophyllaceae","L48(N)","native"
"Nama densum","Hydrophyllaceae","L48(N)","native"
"Nama densum var. densum","Hydrophyllaceae","L48(N)","native"
"Nama densum var. parviflorum","Hydrophyllaceae","L48(N)","native"
"Nama depressum","Hydrophyllaceae","L48(N)","native"
"Nama dichotomum","Hydrophyllaceae","L48(N)","native"
"Nama havardii","Hydrophyllaceae","L48(N)","native"
"Nama hispidum","Hydrophyllaceae","L48(N)","native"
"Nama jamaicense","Hydrophyllaceae","L48(N)PR(N)VI(N)","native"
"Nama lobbii","Hydrophyllaceae","L48(N)","native"
"Nama macranthum","Hydrophyllaceae",NA,NA
"Nama parvifolium","Hydrophyllaceae","L48(N)","native"
"Nama pusillum","Hydrophyllaceae","L48(N)","native"
"Nama retrorsum","Hydrophyllaceae","L48(N)","native"
"Nama rothrockii","Hydrophyllaceae","L48(N)","native"
"Nama sandwicense","Hydrophyllaceae","L48(I)HI(N)","alien"
"Nama stenocarpum","Hydrophyllaceae","L48(N)","native"
"Nama stevensii","Hydrophyllaceae","L48(N)","native"
"Nama torynophyllum","Hydrophyllaceae","L48(N)","native"
"Nama undulatum","Hydrophyllaceae","L48(N)","native"
"Nama xylopodum","Hydrophyllaceae","L48(N)","native"
"Nandina","Berberidaceae","L48(I)","alien"
"Nandina domestica","Berberidaceae","L48(I)","alien"
"Nanostictis","Stictidaceae","NA(N)","native"
"Nanostictis pseudocyphellariae","Stictidaceae","NA(N)","native"
"Nanozostera","Zosteraceae","L48(I)CAN(I)","alien"
"Nanozostera japonica","Zosteraceae","L48(I)CAN(I)","alien"
"Napaea","Malvaceae","L48(N)","native"
"Napaea dioica","Malvaceae","L48(N)","native"
"Narcissus","Liliaceae","L48(I)CAN(I)","alien"
"Narcissus X incomparabilis","Liliaceae","L48(I)","alien"
"Narcissus X intermedius","Liliaceae","L48(I)","alien"
"Narcissus X medioluteus","Liliaceae","L48(I)","alien"
"Narcissus X odorus","Liliaceae","L48(I)","alien"
"Narcissus assoanus","Liliaceae","L48(I)","alien"
"Narcissus bulbocodium","Liliaceae","L48(I)","alien"
"Narcissus jonquilla","Liliaceae","L48(I)","alien"
"Narcissus papyraceus","Liliaceae","L48(I)","alien"
"Narcissus poeticus","Liliaceae","L48(I)CAN(I)","alien"
"Narcissus pseudonarcissus","Liliaceae","L48(I)CAN(I)","alien"
"Narcissus tazetta","Liliaceae","L48(I)","alien"
"Nardia","Jungermanniaceae","NA(N)","native"
"Nardia breidleri","Jungermanniaceae","NA(N)","native"
"Nardia compressa","Jungermanniaceae","NA(N)","native"
"Nardia geoscyphus","Jungermanniaceae","NA(N)","native"
"Nardia geoscyphus var. bifida","Jungermanniaceae","NA(N)","native"
"Nardia geoscyphus var. geoscyphus","Jungermanniaceae","NA(N)","native"
"Nardia insecta","Jungermanniaceae","NA(N)","native"
"Nardia japonica","Jungermanniaceae","NA(N)","native"
"Nardia lescurii","Jungermanniaceae","NA(N)","native"
"Nardia scalaris","Jungermanniaceae","NA(N)","native"
"Nardia scalaris ssp. botryoidea","Jungermanniaceae","NA(N)","native"
"Nardia scalaris ssp. scalaris","Jungermanniaceae","NA(N)","native"
"Nardus","Poaceae","L48(I)CAN(I)GL(I)SPM(I)","alien"
"Nardus stricta","Poaceae","L48(I)CAN(I)GL(I)SPM(I)","alien"
"Narthecium","Liliaceae","L48(N)","native"
"Narthecium americanum","Liliaceae","L48(N)","native"
"Narthecium californicum","Liliaceae","L48(N)","native"
"Nashia","Verbenaceae",NA,NA
"Nashia inaguensis","Verbenaceae","PR(N)",NA
"Nassella","Poaceae","L48(I,N)CAN(N)","native"
"Nassella cernua","Poaceae","L48(N)HI(I)","native"
"Nassella chilensis","Poaceae","L48(I)","alien"
"Nassella hyalina","Poaceae",NA,NA
"Nassella lepida","Poaceae","L48(N)","native"
"Nassella leucotricha","Poaceae","L48(N)","native"
"Nassella manicata","Poaceae","L48(I)","alien"
"Nassella megapotamica","Poaceae",NA,NA
"Nassella neesiana","Poaceae","L48(I)","alien"
"Nassella pulchra","Poaceae","L48(N)","native"
"Nassella tenuis","Poaceae",NA,NA
"Nassella tenuissima","Poaceae","L48(N)","native"
"Nassella trichotoma","Poaceae","L48(I)","alien"
"Nassella viridula","Poaceae","L48(N)CAN(N)","native"
"Nasturtium","Brassicaceae","L48(I,N)CAN(I,N)SPM(I)","native"
"Nasturtium X sterile","Brassicaceae","L48(I)CAN(N)","alien"
"Nasturtium floridanum","Brassicaceae","L48(N)","native"
"Nasturtium gambelii","Brassicaceae","L48(N)","native"
"Nasturtium microphyllum","Brassicaceae","L48(I)AK(I)HI(I)CAN(I)SPM(I)","alien"
"Nasturtium officinale","Brassicaceae","L48(I)AK(I)PR(I)VI(I)CAN(I)SPM(I)","alien"
"Navarretia","Polemoniaceae","L48(N)CAN(N)","native"
"Navarretia atractyloides","Polemoniaceae","L48(N)","native"
"Navarretia breweri","Polemoniaceae","L48(N)","native"
"Navarretia capillaris","Polemoniaceae","L48(N)","native"
"Navarretia cotulifolia","Polemoniaceae","L48(N)","native"
"Navarretia divaricata","Polemoniaceae","L48(N)CAN(N)","native"
"Navarretia divaricata ssp. divaricata","Polemoniaceae","L48(N)CAN(N)","native"
"Navarretia divaricata ssp. vividior","Polemoniaceae","L48(N)","native"
"Navarretia eriocephala","Polemoniaceae","L48(N)","native"
"Navarretia filicaulis","Polemoniaceae","L48(N)","native"
"Navarretia fossalis","Polemoniaceae","L48(N)","native"
"Navarretia furnissii","Polemoniaceae","L48(N)","native"
"Navarretia hamata","Polemoniaceae","L48(N)","native"
"Navarretia hamata ssp. hamata","Polemoniaceae","L48(N)","native"
"Navarretia hamata ssp. leptantha","Polemoniaceae","L48(N)","native"
"Navarretia hamata ssp. parviloba","Polemoniaceae","L48(N)","native"
"Navarretia heterandra","Polemoniaceae","L48(N)","native"
"Navarretia heterodoxa","Polemoniaceae","L48(N)","native"
"Navarretia intertexta","Polemoniaceae","L48(N)CAN(N)","native"
"Navarretia intertexta ssp. intertexta","Polemoniaceae","L48(N)CAN(N)","native"
"Navarretia intertexta ssp. propinqua","Polemoniaceae","L48(N)CAN(N)","native"
"Navarretia jaredii","Polemoniaceae","L48(N)","native"
"Navarretia jepsonii","Polemoniaceae","L48(N)","native"
"Navarretia leptalea","Polemoniaceae","L48(N)","native"
"Navarretia leptalea ssp. bicolor","Polemoniaceae","L48(N)","native"
"Navarretia leptalea ssp. leptalea","Polemoniaceae","L48(N)","native"
"Navarretia leucocephala","Polemoniaceae","L48(N)CAN(N)","native"
"Navarretia leucocephala ssp. bakeri","Polemoniaceae","L48(N)","native"
"Navarretia leucocephala ssp. leucocephala","Polemoniaceae","L48(N)","native"
"Navarretia leucocephala ssp. minima","Polemoniaceae","L48(N)CAN(N)","native"
"Navarretia leucocephala ssp. pauciflora","Polemoniaceae","L48(N)","native"
"Navarretia leucocephala ssp. plieantha","Polemoniaceae","L48(N)","native"
"Navarretia mellita","Polemoniaceae","L48(N)","native"
"Navarretia myersii","Polemoniaceae","L48(N)","native"
"Navarretia myersii ssp. deminuta","Polemoniaceae","L48(N)","native"
"Navarretia myersii ssp. myersii","Polemoniaceae","L48(N)","native"
"Navarretia nigelliformis","Polemoniaceae","L48(N)","native"
"Navarretia nigelliformis ssp. nigelliformis","Polemoniaceae","L48(N)","native"
"Navarretia nigelliformis ssp. radians","Polemoniaceae","L48(N)","native"
"Navarretia paradoxiclara","Polemoniaceae","L48(N)","native"
"Navarretia paradoxinota","Polemoniaceae","L48(N)","native"
"Navarretia peninsularis","Polemoniaceae","L48(N)","native"
"Navarretia prolifera","Polemoniaceae","L48(N)","native"
"Navarretia prolifera ssp. lutea","Polemoniaceae","L48(N)","native"
"Navarretia prolifera ssp. prolifera","Polemoniaceae","L48(N)","native"
"Navarretia prostrata","Polemoniaceae","L48(N)","native"
"Navarretia pubescens","Polemoniaceae","L48(N)","native"
"Navarretia rosulata","Polemoniaceae","L48(N)","native"
"Navarretia saximontana","Polemoniaceae","L48(N)CAN(N)","native"
"Navarretia setiloba","Polemoniaceae","L48(N)","native"
"Navarretia sinistra","Polemoniaceae","L48(N)","native"
"Navarretia sinistra ssp. pinnatisecta","Polemoniaceae","L48(N)","native"
"Navarretia sinistra ssp. sinistra","Polemoniaceae","L48(N)","native"
"Navarretia squarrosa","Polemoniaceae","L48(N)CAN(N)","native"
"Navarretia subuligera","Polemoniaceae","L48(N)","native"
"Navarretia tagetina","Polemoniaceae","L48(N)","native"
"Navarretia viscidula","Polemoniaceae","L48(N)","native"
"Navarretia viscidula ssp. purpurea","Polemoniaceae","L48(N)","native"
"Navarretia viscidula ssp. viscidula","Polemoniaceae","L48(N)","native"
"Navarretia willamettensis","Polemoniaceae","L48(N)","native"
"Nechamandra","Hydrocharitaceae",NA,NA
"Nechamandra alternifolia","Hydrocharitaceae",NA,NA
"Neckera","Neckeraceae","NA(N)","native"
"Neckera complanata","Neckeraceae","NA(N)","native"
"Neckera douglasii","Neckeraceae","NA(N)","native"
"Neckera pennata","Neckeraceae","NA(N)","native"
"Neckeropsis","Neckeraceae","NA(N)","native"
"Neckeropsis disticha","Neckeraceae","NA(N)","native"
"Neckeropsis undulata","Neckeraceae","NA(N)","native"
"Nectandra","Lauraceae","L48(N)","native"
"Nectandra coriacea","Lauraceae","L48(N)PR(N)VI(N)","native"
"Nectandra hihua","Lauraceae","PR(N)VI(N)",NA
"Nectandra krugii","Lauraceae","PR(N)",NA
"Nectandra membranacea","Lauraceae","PR(N)VI(N)",NA
"Nectandra patens","Lauraceae","PR(N)VI(N)",NA
"Nectandra turbacensis","Lauraceae","PR(N)VI(N)",NA
"Nectouxia","Solanaceae","L48(N)","native"
"Nectouxia formosa","Solanaceae","L48(N)","native"
"Nectria","Hypocreaceae","NA(N)","native"
"Nectria lecanodes","Hypocreaceae","NA(N)","native"
"Nectria parmeliae","Hypocreaceae","NA(N)","native"
"Nectria rubifaciens","Hypocreaceae","NA(N)","native"
"Nectria zonata","Hypocreaceae","NA(N)","native"
"Neea","Nyctaginaceae",NA,NA
"Neea buxifolia","Nyctaginaceae","PR(N)VI(N)",NA
"Neeragrostis","Poaceae","L48(N)","native"
"Neeragrostis reptans","Poaceae","L48(N)","native"
"Neisosperma","Apocynaceae",NA,NA
"Neisosperma oppositifolia","Apocynaceae","L48(N)","native"
"Nekemias","Vitaceae","L48(N)","native"
"Nekemias arborea","Vitaceae","L48(N)PR(N)","native"
"Nelsonia","Acanthaceae",NA,NA
"Nelsonia canescens","Acanthaceae","PR(N)",NA
"Nelumbo","Nelumbonaceae","L48(I,N)CAN(N)","native"
"Nelumbo lutea","Nelumbonaceae","L48(N)CAN(N)","native"
"Nelumbo nucifera","Nelumbonaceae","L48(I)","alien"
"Nemacaulis","Polygonaceae","L48(N)","native"
"Nemacaulis denudata","Polygonaceae","L48(N)","native"
"Nemacaulis denudata var. denudata","Polygonaceae","L48(N)","native"
"Nemacaulis denudata var. gracilis","Polygonaceae","L48(N)","native"
"Nemacladus","Campanulaceae","L48(N)","native"
"Nemacladus capillaris","Campanulaceae","L48(N)","native"
"Nemacladus glanduliferus","Campanulaceae","L48(N)","native"
"Nemacladus glanduliferus var. glanduliferus","Campanulaceae","L48(N)","native"
"Nemacladus glanduliferus var. orientalis","Campanulaceae","L48(N)","native"
"Nemacladus gracilis","Campanulaceae","L48(N)","native"
"Nemacladus interior","Campanulaceae","L48(N)","native"
"Nemacladus longiflorus","Campanulaceae","L48(N)","native"
"Nemacladus longiflorus var. breviflorus","Campanulaceae","L48(N)","native"
"Nemacladus longiflorus var. longiflorus","Campanulaceae","L48(N)","native"
"Nemacladus montanus","Campanulaceae","L48(N)","native"
"Nemacladus pinnatifidus","Campanulaceae","L48(N)","native"
"Nemacladus ramosissimus","Campanulaceae","L48(N)","native"
"Nemacladus rigidus","Campanulaceae","L48(N)","native"
"Nemacladus rubescens","Campanulaceae","L48(N)","native"
"Nemacladus rubescens var. rubescens","Campanulaceae","L48(N)","native"
"Nemacladus rubescens var. tenuis","Campanulaceae","L48(N)","native"
"Nemacladus secundiflorus","Campanulaceae","L48(N)","native"
"Nemacladus sigmoideus","Campanulaceae","L48(N)","native"
"Nemacladus twisselmannii","Campanulaceae","L48(N)","native"
"Nemastylis","Iridaceae","L48(N)","native"
"Nemastylis floridana","Iridaceae","L48(N)","native"
"Nemastylis geminiflora","Iridaceae","L48(N)","native"
"Nemastylis nuttallii","Iridaceae","L48(N)","native"
"Nemastylis tenuis","Iridaceae","L48(N)","native"
"Nemastylis tenuis ssp. pringlei","Iridaceae","L48(N)","native"
"Nemesia","Scrophulariaceae","CAN(I)NA(I)","alien"
"Nemesia strumosa","Scrophulariaceae","CAN(I)NA(I)","alien"
"Nemopanthus","Aquifoliaceae",NA,NA
"Nemophila","Hydrophyllaceae","L48(N)CAN(N)","native"
"Nemophila aphylla","Hydrophyllaceae","L48(N)","native"
"Nemophila breviflora","Hydrophyllaceae","L48(N)CAN(N)","native"
"Nemophila heterophylla","Hydrophyllaceae","L48(N)","native"
"Nemophila kirtleyi","Hydrophyllaceae","L48(N)","native"
"Nemophila maculata","Hydrophyllaceae","L48(N)","native"
"Nemophila menziesii","Hydrophyllaceae","L48(N)AK(I)","native"
"Nemophila menziesii var. atomaria","Hydrophyllaceae","L48(N)AK(I)","native"
"Nemophila menziesii var. integrifolia","Hydrophyllaceae","L48(N)","native"
"Nemophila menziesii var. menziesii","Hydrophyllaceae","L48(N)","native"
"Nemophila parviflora","Hydrophyllaceae","L48(N)CAN(N)","native"
"Nemophila parviflora var. austiniae","Hydrophyllaceae","L48(N)","native"
"Nemophila parviflora var. parviflora","Hydrophyllaceae","L48(N)CAN(N)","native"
"Nemophila parviflora var. quercifolia","Hydrophyllaceae","L48(N)","native"
"Nemophila pedunculata","Hydrophyllaceae","L48(N)CAN(N)","native"
"Nemophila phacelioides","Hydrophyllaceae","L48(N)","native"
"Nemophila pulchella","Hydrophyllaceae","L48(N)","native"
"Nemophila pulchella var. fremontii","Hydrophyllaceae","L48(N)","native"
"Nemophila pulchella var. gracilis","Hydrophyllaceae","L48(N)","native"
"Nemophila pulchella var. pulchella","Hydrophyllaceae","L48(N)","native"
"Nemophila spatulata","Hydrophyllaceae","L48(N)","native"
"Neobeckia","Brassicaceae","L48(N)CAN(N)","native"
"Neobeckia aquatica","Brassicaceae","L48(N)CAN(N)","native"
"Neofuscelia","Parmeliaceae","NA(N)","native"
"Neofuscelia ahtii","Parmeliaceae","NA(N)","native"
"Neofuscelia atticoides","Parmeliaceae","NA(N)","native"
"Neofuscelia brunella","Parmeliaceae","NA(N)","native"
"Neofuscelia chiricahuensis","Parmeliaceae","NA(N)","native"
"Neofuscelia infrapallida","Parmeliaceae","NA(N)","native"
"Neofuscelia loxodes","Parmeliaceae","NA(N)","native"
"Neofuscelia occidentalis","Parmeliaceae","NA(N)","native"
"Neofuscelia pustulosa","Parmeliaceae","NA(N)","native"
"Neofuscelia subhosseana","Parmeliaceae","NA(N)","native"
"Neofuscelia verruculifera","Parmeliaceae","NA(N)","native"
"Neogaerrhinum","Scrophulariaceae","L48(N)","native"
"Neogaerrhinum filipes","Scrophulariaceae","L48(N)","native"
"Neogaerrhinum strictum","Scrophulariaceae","L48(N)","native"
"Neolamarckia","Rubiaceae",NA,NA
"Neolamarckia cadamba","Rubiaceae","PR(I)",NA
"Neolaugeria","Rubiaceae",NA,NA
"Neolaugeria resinosa","Rubiaceae","PR(N)",NA
"Neolloydia","Cactaceae","L48(N)","native"
"Neolloydia conoidea","Cactaceae","L48(N)","native"
"Neololeba","Poaceae",NA,NA
"Neololeba atra","Poaceae","L48(I)","alien"
"Neomacounia","Neckeraceae","NA(N)","native"
"Neomacounia nitida","Neckeraceae","NA(N)","native"
"Neomarica","Iridaceae",NA,NA
"Neomarica brachypus","Iridaceae",NA,NA
"Neomarica caerulea","Iridaceae",NA,NA
"Neomarica northiana","Iridaceae","PR(I)",NA
"Neonauclea","Rubiaceae",NA,NA
"Neonauclea forsteri","Rubiaceae",NA,NA
"Neonotonia","Fabaceae",NA,NA
"Neonotonia wightii","Fabaceae","HI(I)",NA
"Neonotonia wightii var. longicauda","Fabaceae",NA,NA
"Neonotonia wightii var. mearnsii","Fabaceae",NA,NA
"Neonotonia wightii var. wightii","Fabaceae",NA,NA
"Neoparrya","Apiaceae","L48(N)","native"
"Neoparrya lithophila","Apiaceae","L48(N)","native"
"Neoregelia","Bromeliaceae",NA,NA
"Neorudolphia","Fabaceae",NA,NA
"Neorudolphia volubilis","Fabaceae","PR(N)",NA
"Neostapfia","Poaceae","L48(N)","native"
"Neostapfia colusana","Poaceae","L48(N)","native"
"Neotorularia","Brassicaceae","L48(N)CAN(N)GL(N)","native"
"Neotorularia humilis","Brassicaceae","L48(N)AK(N)CAN(N)GL(N)","native"
"Nepenthes","Nepenthaceae",NA,NA
"Nepenthes mirabilis","Nepenthaceae","L48(N)","native"
"Nepeta","Lamiaceae","L48(I)CAN(I)","alien"
"Nepeta camphorata","Lamiaceae","CAN(I)NA(I)","alien"
"Nepeta cataria","Lamiaceae","L48(I)AK(I)CAN(I)","alien"
"Nepeta grandiflora","Lamiaceae","L48(I)CAN(I)","alien"
"Nepeta racemosa","Lamiaceae","L48(I)","alien"
"Nephelea","Cyatheaceae",NA,NA
"Nephelea pubescens","Cyatheaceae",NA,NA
"Nephelium","Sapindaceae",NA,NA
"Nephelium lappaceum","Sapindaceae","L48(I)","alien"
"Nephelium mutabile","Sapindaceae",NA,NA
"Nephrolepis","Dryopteridaceae","L48(I,N)","native"
"Nephrolepis X averyi","Dryopteridaceae","L48(N)","native"
"Nephrolepis X copelandii","Dryopteridaceae","HI(N)",NA
"Nephrolepis X medlerae","Dryopteridaceae","HI(N)",NA
"Nephrolepis acutifolia","Dryopteridaceae","L48(N)","native"
"Nephrolepis biserrata","Dryopteridaceae","L48(N)HI(I)PR(N)VI(N)","native"
"Nephrolepis cordifolia","Dryopteridaceae","L48(I)HI(N)PR(I)VI(I)","alien"
"Nephrolepis exaltata","Dryopteridaceae","L48(N)HI(N)PR(N)VI(N)","native"
"Nephrolepis exaltata ssp. exaltata","Dryopteridaceae","L48(N)PR(N)VI(N)","native"
"Nephrolepis exaltata ssp. hawaiiensis","Dryopteridaceae","HI(N)",NA
"Nephrolepis falcata","Dryopteridaceae","L48(I)HI(I)","alien"
"Nephrolepis hirsutula","Dryopteridaceae","L48(N)HI(I)","native"
"Nephrolepis laurifolia","Dryopteridaceae","PR(I)VI(I)",NA
"Nephrolepis multiflora","Dryopteridaceae","L48(I)HI(I)PR(I)VI(I)","alien"
"Nephrolepis obliterata","Dryopteridaceae","L48(N)","native"
"Nephrolepis pectinata","Dryopteridaceae",NA,NA
"Nephrolepis rivularis","Dryopteridaceae","PR(N)VI(N)",NA
"Nephrolepis undulata","Dryopteridaceae","PR(N)",NA
"Nephroma","Nephromataceae","NA(N)","native"
"Nephroma arcticum","Nephromataceae","NA(N)","native"
"Nephroma bellum","Nephromataceae","NA(N)","native"
"Nephroma expallidum","Nephromataceae","NA(N)","native"
"Nephroma helveticum","Nephromataceae","NA(N)","native"
"Nephroma helveticum ssp. helveticum","Nephromataceae","NA(N)","native"
"Nephroma helveticum ssp. sipeanum","Nephromataceae","NA(N)","native"
"Nephroma isidiosum","Nephromataceae","NA(N)","native"
"Nephroma laevigatum","Nephromataceae","NA(N)","native"
"Nephroma occultum","Nephromataceae","NA(N)","native"
"Nephroma parile","Nephromataceae","NA(N)","native"
"Nephroma resupinatum","Nephromataceae","NA(N)","native"
"Nephroma silvae-veteris","Nephromataceae","NA(N)","native"
"Nephrophyllidium","Menyanthaceae","L48(N)CAN(N)","native"
"Nephrophyllidium crista-galli","Menyanthaceae","L48(N)AK(N)CAN(N)","native"
"Nepsera","Melastomataceae",NA,NA
"Nepsera aquatica","Melastomataceae","PR(N)VI(N)",NA
"Neptunia","Fabaceae","L48(N)","native"
"Neptunia lutea","Fabaceae","L48(N)","native"
"Neptunia plena","Fabaceae","L48(N)PR(N)","native"
"Neptunia prostrata","Fabaceae","PR(N)",NA
"Neptunia pubescens","Fabaceae","L48(N)","native"
"Neptunia pubescens var. microcarpa","Fabaceae","L48(N)","native"
"Neptunia pubescens var. pubescens","Fabaceae","L48(N)","native"
"Neraudia","Urticaceae",NA,NA
"Neraudia angulata","Urticaceae","HI(N)",NA
"Neraudia angulata var. angulata","Urticaceae","HI(N)",NA
"Neraudia angulata var. dentata","Urticaceae","HI(N)",NA
"Neraudia kauaiensis","Urticaceae","HI(N)",NA
"Neraudia melastomifolia","Urticaceae","HI(N)",NA
"Neraudia ovata","Urticaceae","HI(N)",NA
"Neraudia sericea","Urticaceae","HI(N)",NA
"Nerine","Liliaceae",NA,NA
"Nerine bowdenii","Liliaceae",NA,NA
"Nerisyrenia","Brassicaceae","L48(N)","native"
"Nerisyrenia camporum","Brassicaceae","L48(N)","native"
"Nerisyrenia linearifolia","Brassicaceae","L48(N)","native"
"Nerium","Apocynaceae","L48(I)","alien"
"Nerium oleander","Apocynaceae","L48(I)PR(I)VI(I)","alien"
"Nervilia","Orchidaceae",NA,NA
"Nervilia aragoana","Orchidaceae","L48(N)","native"
"Nervilia jacksoniae","Orchidaceae",NA,NA
"Nervilia palawensis","Orchidaceae","L48(N)","native"
"Nervilia platychila","Orchidaceae","L48(N)","native"
"Nervilia trichophylla","Orchidaceae","L48(N)","native"
"Nesaea","Lythraceae","L48(N)","native"
"Nesaea longipes","Lythraceae","L48(N)","native"
"Neslia","Brassicaceae","L48(I)CAN(I)","alien"
"Neslia paniculata","Brassicaceae","L48(I)AK(I)CAN(I)","alien"
"Nesogenes","Verbenaceae",NA,NA
"Nesogenes rotensis","Verbenaceae",NA,NA
"Nesoluma","Sapotaceae",NA,NA
"Nesoluma polynesicum","Sapotaceae","HI(N)",NA
"Nestegis","Oleaceae",NA,NA
"Nestegis sandwicensis","Oleaceae","HI(N)",NA
"Nestotus","Asteraceae","L48(N)CAN(N)","native"
"Nestotus macleanii","Asteraceae","CAN(N)NA(N)","native"
"Nestotus stenophyllus","Asteraceae","L48(N)","native"
"Nestronia","Santalaceae","L48(N)","native"
"Nestronia umbellula","Santalaceae","L48(N)","native"
"Neuburgia","Loganiaceae",NA,NA
"Neuburgia celebica","Loganiaceae","L48(N)","native"
"Neurodium","Polypodiaceae","L48(N)","native"
"Neurodium lanceolatum","Polypodiaceae","L48(N)PR(N)VI(N)","native"
"Neurolaena","Asteraceae","L48(I)","alien"
"Neurolaena lobata","Asteraceae","L48(I)HI(I)PR(N)VI(N)","alien"
"Neurolejeunea","Lejeuneaceae","NA(N)","native"
"Neurolejeunea breutelii","Lejeuneaceae","NA(N)","native"
"Neviusia","Rosaceae","L48(N)","native"
"Neviusia alabamensis","Rosaceae","L48(N)","native"
"Neviusia cliftonii","Rosaceae","L48(N)","native"
"Neyraudia","Poaceae","L48(I)","alien"
"Neyraudia arundinacea","Poaceae",NA,NA
"Neyraudia reynaudiana","Poaceae","L48(I)","alien"
"Nicandra","Solanaceae","L48(I)CAN(I)","alien"
"Nicandra physalodes","Solanaceae","L48(I)HI(I)CAN(I)","alien"
"Nicolletia","Asteraceae","L48(N)","native"
"Nicolletia edwardsii","Asteraceae","L48(N)","native"
"Nicolletia occidentalis","Asteraceae","L48(N)","native"
"Nicotiana","Solanaceae","L48(I,N)","native"
"Nicotiana X sanderae","Solanaceae","L48(I)CAN(W)","alien"
"Nicotiana acuminata","Solanaceae","L48(I)","alien"
"Nicotiana acuminata var. acuminata","Solanaceae",NA,NA
"Nicotiana acuminata var. multiflora","Solanaceae","L48(I)","alien"
"Nicotiana alata","Solanaceae","L48(I)CAN(W)","alien"
"Nicotiana attenuata","Solanaceae","L48(N)CAN(N)","native"
"Nicotiana clevelandii","Solanaceae","L48(N)","native"
"Nicotiana excelsior","Solanaceae",NA,NA
"Nicotiana forgetiana","Solanaceae",NA,NA
"Nicotiana glauca","Solanaceae","L48(I)HI(I)","alien"
"Nicotiana glutinosa","Solanaceae",NA,NA
"Nicotiana langsdorffii","Solanaceae",NA,NA
"Nicotiana longiflora","Solanaceae","L48(I)CAN(W)","alien"
"Nicotiana obtusifolia","Solanaceae","L48(N)","native"
"Nicotiana obtusifolia var. obtusifolia","Solanaceae","L48(N)","native"
"Nicotiana obtusifolia var. palmeri","Solanaceae","L48(N)","native"
"Nicotiana paniculata","Solanaceae",NA,NA
"Nicotiana plumbaginifolia","Solanaceae","L48(I)","alien"
"Nicotiana quadrivalvis","Solanaceae","L48(N)","native"
"Nicotiana quadrivalvis var. bigelovii","Solanaceae","L48(N)","native"
"Nicotiana quadrivalvis var. quadrivalvis","Solanaceae","L48(N)","native"
"Nicotiana quadrivalvis var. wallacei","Solanaceae","L48(N)","native"
"Nicotiana repanda","Solanaceae","L48(N)","native"
"Nicotiana rustica","Solanaceae","L48(I)CAN(I)","alien"
"Nicotiana suaveolens","Solanaceae","L48(I)","alien"
"Nicotiana sylvestris","Solanaceae","L48(I)","alien"
"Nicotiana tabacum","Solanaceae","L48(I)HI(I)PR(I)VI(I)CAN(I)","alien"
"Nicotiana tomentosa","Solanaceae",NA,NA
"Nicotiana velutina","Solanaceae",NA,NA
"Nidema","Orchidaceae",NA,NA
"Nidema ottonis","Orchidaceae","PR(N)",NA
"Niebla","Ramalinaceae","NA(N)","native"
"Niebla caespitosa","Ramalinaceae","NA(N)","native"
"Niebla cornea","Ramalinaceae","NA(N)","native"
"Niebla dactylifera","Ramalinaceae","NA(N)","native"
"Niebla disrupta","Ramalinaceae","NA(N)","native"
"Niebla dissecta","Ramalinaceae","NA(N)","native"
"Niebla eburnea","Ramalinaceae","NA(N)","native"
"Niebla fimbriata","Ramalinaceae","NA(N)","native"
"Niebla flagelliforma","Ramalinaceae","NA(N)","native"
"Niebla halei","Ramalinaceae","NA(N)","native"
"Niebla homalea","Ramalinaceae","NA(N)","native"
"Niebla infundibula","Ramalinaceae","NA(N)","native"
"Niebla isidiascens","Ramalinaceae","NA(N)","native"
"Niebla laminaria","Ramalinaceae","NA(N)","native"
"Niebla palmeri","Ramalinaceae","NA(N)","native"
"Niebla ramosissima","Ramalinaceae","NA(N)","native"
"Niebla siphonoloba","Ramalinaceae","NA(N)","native"
"Niebla sorediata","Ramalinaceae","NA(N)","native"
"Niebla sorocarpia","Ramalinaceae","NA(N)","native"
"Niebla testudinaria","Ramalinaceae","NA(N)","native"
"Niebla undulata","Ramalinaceae","NA(N)","native"
